,id,address,tower_name,building_type,rooms,garages,useful_area,latitude,longitude,point_estimate,minimum_estimate,maximum_estimate
19564,19564,"Rua Francisco Pessoa, 690",Torre única,Apartamento,3,2,157,-23.62770960,-46.74099110,1339770,1138800,1540730
19565,19565,Torre 2,Luiza,Apartamento,-1,-1,-1,-23.62815280,-46.74116270,-1,-1,-1
19566,19566,Torre 2,Luiza,Apartamento,4,3,168,-23.62815280,-46.74116270,1675790,1424420,1927160
19567,19567,Torre 2,Luiza,Apartamento,3,4,263,-23.62815280,-46.74116270,2623420,2229900,3016930
19568,19568,Torre 2,Luiza,Cobertura,4,4,302,-23.62815280,-46.74116270,3012440,2560570,3464300
19569,19569,Torre A,Torre única,Apartamento,1,1,52,-23.60487980,-46.73869910,619748,514391,731303
19570,19570,Torre A,Torre única,Apartamento,2,1,98,-23.60487980,-46.73869910,1167990,969430,1378230
19571,19571,"Pc. Francisco Sampaio Viana, 54",Torre única,Apartamento,2,1,62,-23.63477620,-46.63666540,736518,626040,846995
19572,19572,"Rua Francisco Tapajos, 170",Torre única,Apartamento,2,1,51,-23.62580310,-46.62732760,395152,347733,446521
19573,19573,"Rua Francisco Tapajós, 359",Torre única,Apartamento,1,1,41,-23.62583780,-46.62549330,-1,-1,-1
19574,19574,"Rua Francisco Tapajós, 359",Torre única,Apartamento,2,1,61,-23.62583780,-46.62549330,-1,-1,-1
19575,19575,"Rua Francisco Tapajos, 513",Torre única,Apartamento,3,1,108,-23.62619190,-46.62415810,819753,696790,942716
19576,19576,"Rua Francisco Tapajos, 539",Torre única,Apartamento,2,1,63,-23.62625700,-46.62383550,436910,371373,502446
19577,19577,"Rua Francisco Tomas de Carvalho, 1",Torre única,Apartamento,4,3,180,-23.61187430,-46.72538800,744210,632578,855841
19578,19578,"Rua Francisco Tomas de Carvalho, 1",Torre única,Cobertura,4,3,400,-23.61187430,-46.72538800,1653800,1405730,1901870
19579,19579,"Rua Francisco Tramontano, 70",Torre única,Conjunto,-1,-1,42,-23.61595590,-46.70196530,-1,-1,-1
19580,19580,"Rua Francisco Tramontano, 70",Torre única,Conjunto,-1,-1,60,-23.61595590,-46.70196530,-1,-1,-1
19581,19581,"Rua Francisco Zanela, 100",Torre única,Apartamento,4,5,160,-23.47599280,-46.58549630,-1,-1,-1
19582,19582,"Rua Francisco Ziccardi, 48",Torre única,Apartamento,4,3,128,-23.55523910,-46.56641410,927774,770052,1094770
19583,19583,"Rua Francisco Ziccardi, 48",Torre única,Cobertura,4,-1,224,-23.55523910,-46.56641410,1623600,1347590,1915850
19584,19584,"Rua Franco Paulista, 117",Torre única,Apartamento,-1,-1,-1,-23.48664060,-46.62192030,-1,-1,-1
19585,19585,"Rua Franklin do Amaral, 579",Torre única,Apartamento,2,1,45,-23.47466830,-46.65828650,-1,-1,-1
19586,19586,"Rua Franklin do Amaral, 579",Torre única,Apartamento,2,1,47,-23.47466830,-46.65828650,-1,-1,-1
19587,19587,1,Vila Galicia,Apartamento,2,1,62,-23.65550690,-46.66095900,516527,439048,594006
19588,19588,1,Vila Galicia,Apartamento,3,1,75,-23.65550690,-46.66095900,624831,531107,718556
19589,19589,"Rua Franklin Magalhaes, 280",Torre única,Apartamento,2,2,62,-23.65064780,-46.65494300,342421,291058,393784
19590,19590,"Rua Franklin Magalhaes, 974",Torre única,Apartamento,2,1,51,-23.65473720,-46.66014470,363721,309163,418279
19591,19591,"Rua Franklin Magalhaes, 974",Torre única,Cobertura,2,-1,82,-23.65473720,-46.66014470,584807,497086,672528
19592,19592,"Pc. Franklin Roosevelt, 146",Torre única,Apartamento,2,1,285,-23.54862400,-46.64628800,2041140,1734970,2347310
19593,19593,"Pc. Franklin Roosevelt, 146",Torre única,Apartamento,4,5,354,-23.54862400,-46.64628800,2535310,2155020,2915610
19594,19594,"Pc. Franklin Roosevelt, 178",Torre única,Apartamento,2,-1,139,-23.54835790,-46.64617260,-1,-1,-1
19595,19595,"Pc. Franklin Roosevelt, 222",Torre única,Apartamento,-1,-1,-1,-23.54884010,-46.64632590,-1,-1,-1
19596,19596,"Rua Frederic Chopin, 226",Torre única,Apartamento,5,7,553,-23.58432240,-46.68873390,-1,-1,-1
19597,19597,"Rua Frederic Chopin, 226",Torre única,Apartamento,5,7,567,-23.58432240,-46.68873390,-1,-1,-1
19598,19598,"Rua Frederic Chopin, 226",Torre única,Cobertura,5,9,1070,-23.58432240,-46.68873390,-1,-1,-1
19599,19599,Horizonte,BOSQUE,Apartamento,3,2,115,-23.62576650,-46.73104780,671235,570550,771921
19600,19600,Horizonte,BOSQUE,Apartamento,3,2,157,-23.62576650,-46.73104780,916382,778925,1053840
19601,19601,Horizonte,BOSQUE,Cobertura,4,3,220,-23.62576650,-46.73104780,1284100,1091490,1476720
19602,19602,Horizonte,COLINA,Apartamento,4,2,157,-23.62576650,-46.73104780,916382,778925,1053840
19603,19603,Horizonte,COLINA,Cobertura,4,3,220,-23.62576650,-46.73104780,1284100,1091490,1476720
19604,19604,Horizonte,HORIZONTE,Apartamento,3,2,115,-23.62576650,-46.73104780,671235,570550,771921
19605,19605,Horizonte,HORIZONTE,Apartamento,4,2,160,-23.62576650,-46.73104780,933893,793809,1073980
19606,19606,Horizonte,HORIZONTE,Apartamento,4,2,220,-23.62576650,-46.73104780,1284100,1091490,1476720
19607,19607,Horizonte,HORIZONTE,Cobertura,4,4,220,-23.62576650,-46.73104780,1284100,1091490,1476720
19608,19608,Horizonte,SOL,Apartamento,4,2,157,-23.62576650,-46.73104780,916382,778925,1053840
19609,19609,Horizonte,SOL,Cobertura,4,4,220,-23.62576650,-46.73104780,1284100,1091490,1476720
19610,19610,"Rua Frederico Guarinon, 135",Torre única,Apartamento,3,2,89,-23.62563740,-46.73118170,853275,725284,981266
19611,19611,"Rua Frederico Steidel, 285",Torre única,Apartamento,-1,-1,-1,-23.53894540,-46.64770810,-1,-1,-1
19612,19612,"Rua Frederico Von Martius, 255",Torre única,Apartamento,3,2,71,-23.57606810,-46.61281410,706933,586754,834180
19613,19613,"Rua Frederico Von Martius, 255",Torre única,Cobertura,3,2,118,-23.57606810,-46.61281410,1174900,975169,1386380
19614,19614,"Rua Frederico Von Martius, 295",Torre única,Apartamento,-1,-1,-1,-23.57646700,-46.61321270,-1,-1,-1
19615,19615,Torre A,Torre única,Apartamento,2,1,59,-23.60052510,-46.74969130,485224,388179,582269
19616,19616,Torre A,Torre única,Apartamento,2,1,67,-23.60052510,-46.74969130,551017,440814,661220
19617,19617,"Rua Frei Bonifacio Dux, 104",Torre única,Apartamento,3,1,81,-23.60215020,-46.72831940,712580,591441,840844
19618,19618,"Rua Frei Bonifacio Dux, 104",Torre única,Cobertura,3,3,150,-23.60215020,-46.72831940,1319590,1095260,1557120
19619,19619,"Rua Frei Caneca, 11",Torre única,Apartamento,3,1,104,-23.55141610,-46.64778640,816547,694065,939029
19620,19620,"Rua Frei Caneca, 11",Torre única,Apartamento,4,2,323,-23.55141610,-46.64778640,2536010,2155610,2916410
19621,19621,"Rua Frei Caneca, 159",Torre única,Apartamento,2,1,90,-23.55187600,-46.64919500,816374,677590,963321
19622,19622,"Rua Frei Caneca, 219",Torre única,Apartamento,1,1,38,-23.55206000,-46.64973500,404357,343704,465011
19623,19623,"Rua Frei Caneca, 288",Torre única,Apartamento,1,1,39,-23.55222960,-46.65044030,331412,281700,381123
19624,19624,"Rua Frei Caneca, 324",Torre única,Apartamento,1,-1,45,-23.55237810,-46.65075460,397822,338149,457495
19625,19625,"Rua Frei Caneca, 348",Torre única,Apartamento,1,-1,50,-23.55251750,-46.65088770,446661,379662,513661
19626,19626,"Rua Frei Caneca, 558",Torre única,Conjunto,-1,-1,39,-23.55347680,-46.65300230,-1,-1,-1
19627,19627,"Rua Frei Caneca, 558",Torre única,Conjunto,-1,-1,150,-23.55347680,-46.65300230,-1,-1,-1
